Date,Value_Benchmark,Value_EqualWeight,Value_RebalanceStrategy
2024-07-01,52981.52479484958,60981.52142115556,68907.83310290029
2024-07-02,53553.94105381842,61501.44244942169,71885.24662181264
2024-07-03,54179.97627438165,61786.623594324716,73171.40295106935
2024-07-04,54300.16322653291,61753.68003283569,73115.73723221775
2024-07-05,54300.16322653291,61753.68003283569,73115.73723221775
2024-07-06,54268.4478812363,61627.67955264454,72730.75683362035
2024-07-07,54268.4478812363,61627.67955264454,72730.75683362035
2024-07-08,54268.4478812363,61627.67955264454,72730.75683362035
2024-07-09,54703.23537328588,61130.361582615056,71702.20472760826
2024-07-10,55360.95526267635,61375.413613099976,71327.12834325257
2024-07-11,54255.09864319455,61725.53851507871,73433.07061817743
2024-07-12,54732.06444240252,61599.95523801314,72736.17372798162
2024-07-13,55163.49307526024,62261.63418257898,72702.257627701
2024-07-14,55163.49307526024,62261.63418257898,72702.257627701
2024-07-15,55163.49307526024,62261.63418257898,72702.257627701
2024-07-16,56233.49963342652,62790.216879933694,72816.96477727762
2024-07-17,55508.93024047419,62669.28262967909,74208.8405091532
2024-07-18,54829.43924064822,62272.632448848344,73686.02125094194
2024-07-19,54208.217666743396,62517.384292015304,74734.4542434953
2024-07-20,55091.13203372938,62901.03990882667,73319.2062523397
2024-07-21,55091.13203372938,62901.03990882667,73319.2062523397
2024-07-22,55091.13203372938,62901.03990882667,73319.2062523397
2024-07-23,55047.29833559398,62456.36614857455,73638.13896069265
2024-07-24,52701.774663269476,62619.132626499726,76544.75705032329
2024-07-25,52869.52205783,62806.731646297885,76525.46995450392
2024-07-26,53458.720845404954,62927.828769915446,76480.71589049035
2024-07-27,53551.23178803121,62989.172634193004,75790.63662958996
2024-07-28,53551.23178803121,62989.172634193004,75790.63662958996
2024-07-29,53551.23178803121,62989.172634193004,75790.63662958996
2024-07-30,53173.74488798406,63214.22944971803,77546.93433316537
2024-07-31,54703.80281183194,64097.28539870359,81088.56959069961
2024-08-01,52805.295181480964,64228.4349981507,79779.3617238399
2024-08-02,51006.76477977989,63365.501311790365,79612.12521127562
2024-08-03,49233.971260284896,62708.56017503532,78011.63194250566
2024-08-04,49233.971260284896,62708.56017503532,78011.63194250566
2024-08-05,49233.971260284896,62708.56017503532,78011.63194250566
2024-08-06,49713.96786733538,62878.59807787601,79079.89018735127
2024-08-07,49120.54757359635,63462.603669432014,78283.06722127738
2024-08-08,50579.488788761315,64499.16053862757,81587.63896538221
2024-08-09,50682.57176310533,64365.33653885158,81681.50156232812
2024-08-10,50629.32592037486,64519.67402247157,82608.85760911835
2024-08-11,50629.32592037486,64519.67402247157,82608.85760911835
2024-08-12,50629.32592037486,64519.67402247157,82608.85760911835
2024-08-13,52093.67682210978,65435.52843830008,86755.57901174034
2024-08-14,52013.67720929043,65750.26504672597,86346.91711698136
2024-08-15,53547.80322632387,67066.44450543768,90281.12775339944
2024-08-16,53938.15783966409,67701.48306002255,91298.77774668767
2024-08-17,54882.212406387815,68478.63605091759,94262.01995684566
2024-08-18,54882.212406387815,68478.63605091759,94262.01995684566
2024-08-19,54882.212406387815,68478.63605091759,94262.01995684566
2024-08-20,54391.39445492702,68216.59529698387,93081.40478714588
2024-08-21,54479.95457800187,68368.59771862968,93866.73468444438
2024-08-22,53600.31504092717,67784.49365304038,90145.6887113855
2024-08-23,54844.29216673534,68735.8508181579,93729.99464646853
2024-08-24,54574.30268002867,68503.315373083,91586.59493980094
2024-08-25,54574.30268002867,68503.315373083,91586.59493980094
2024-08-26,54574.30268002867,68503.315373083,91586.59493980094
2024-08-27,54555.032082851656,68152.20150650856,91392.86100281509
2024-08-28,53754.502012760146,67669.30908763803,89867.10071564432
