Date,Total_Portfolio_Value,Uninvested_Capital,AMZN_Value,BA_Value,CAT_Value,GOOGL_Value,GS_Value,NKE_Value,NVDA_Value,SOFI_Value,TSLA_Value,UNH_Value
2024-08-02,63843.95610714465,0.0,573.47,643.98,677.39,613.6,19442.67,2482.44,617.53,19570.82,642.02,18580.05
2024-08-03,63687.39317672398,0.0,549.97,649.58,681.73,586.32,18962.63,2395.56,578.27,19734.72,655.61,18893.01
2024-08-04,63687.39317672398,0.0,549.97,649.58,681.73,586.32,18962.63,2395.56,578.27,19734.72,655.61,18893.01
2024-08-05,63687.39317672398,0.0,549.97,649.58,681.73,586.32,18962.63,2395.56,578.27,19734.72,655.61,18893.01
2024-08-06,63893.369906469736,0.0,553.08,653.48,671.59,582.79,19425.32,2431.79,600.14,19402.79,652.71,18919.69
2024-08-07,63699.02765330589,0.0,555.95,646.36,670.27,585.18,19540.58,2435.81,569.4,19070.86,667.15,18957.47
2024-08-08,65366.60151945027,0.0,566.3,668.65,691.58,596.56,20067.71,2488.47,604.29,20036.47,691.78,18954.8
2024-08-09,65695.53626911124,0.0,570.19,664.85,695.9,602.59,20253.2,2493.51,603.02,20036.47,695.82,19079.99
2024-08-10,64912.290185655525,0.0,569.71,649.88,698.21,597.51,20056.55,2503.57,627.6,19553.66,687.08,18968.5
2024-08-11,64912.290185655525,0.0,569.71,649.88,698.21,597.51,20056.55,2503.57,627.6,19553.66,687.08,18968.5
2024-08-12,64912.290185655525,0.0,569.71,649.88,698.21,597.51,20056.55,2503.57,627.6,19553.66,687.08,18968.5
2024-08-13,65724.17642478863,0.0,581.43,640.9,695.35,604.4,20322.6,2633.04,668.59,20036.47,723.06,18818.34
2024-08-14,65799.67532795639,0.0,580.98,641.4,696.59,590.44,20601.86,2632.7,679.76,19945.94,700.62,18729.37
2024-08-15,66975.43967206332,0.0,606.57,671.51,688.43,593.87,20615.08,2766.15,707.28,20851.21,745.01,18730.34
2024-08-16,67515.6468535954,0.0,607.47,685.14,684.13,599.98,20831.55,2753.99,717.18,21122.78,751.9,18761.52
2024-08-17,68973.68712159207,0.0,605.48,685.8,686.46,613.64,20848.9,2755.65,748.38,22510.85,774.86,18743.66
2024-08-18,68973.68712159207,0.0,605.48,685.8,686.46,613.64,20848.9,2755.65,748.38,22510.85,774.86,18743.66
2024-08-19,68973.68712159207,0.0,605.48,685.8,686.46,613.64,20848.9,2755.65,748.38,22510.85,774.86,18743.66
2024-08-20,68777.94311345303,0.0,604.36,700.66,683.77,615.52,20545.68,2764.91,732.55,22647.88,769.23,18713.38
2024-08-21,68965.02614329167,0.0,602.28,697.97,683.11,610.62,20563.88,2779.47,739.75,22756.21,776.78,18754.95
2024-08-22,69089.7782966326,0.0,608.94,699.33,681.9,603.07,20617.31,2759.95,712.34,22929.62,732.9,18744.41
2024-08-23,69083.91871040619,0.0,607.36,708.23,693.95,609.77,21100.7,2781.12,744.75,22420.87,766.51,18650.64
2024-08-24,69491.75843773247,0.0,610.0,702.24,699.43,611.76,21132.87,2788.74,728.0,22868.09,741.78,18608.84
2024-08-25,69491.75843773247,0.0,610.0,702.24,699.43,611.76,21132.87,2788.74,728.0,22868.09,741.78,18608.84
2024-08-26,69491.75843773247,0.0,610.0,702.24,699.43,611.76,21132.87,2788.74,728.0,22868.09,741.78,18608.84
2024-08-27,69790.61706886097,0.0,614.14,703.11,699.35,606.31,21107.49,2822.16,738.59,23166.24,727.86,18605.36
2024-08-28,68659.53508524339,0.0,618.26,707.91,693.53,599.58,20943.96,2739.43,723.11,22331.42,715.82,18586.51
2024-08-29,68105.1844200984,0.0,623.03,704.72,700.38,595.64,21225.67,2754.98,676.94,21567.49,717.67,18538.66
2024-08-30,68395.81486130405,0.0,646.13,710.78,709.27,601.53,21357.52,2756.97,687.19,21621.41,744.91,18560.13
2024-08-31,69240.46206446078,0.0,637.98,738.32,677.68,579.36,21851.07,2702.79,621.73,22272.03,732.7,18426.8
2024-09-01,69240.46206446078,0.0,637.98,738.32,677.68,579.36,21851.07,2702.79,621.73,22272.03,732.7,18426.8
2024-09-02,69240.46206446078,0.0,637.98,738.32,677.68,579.36,21851.07,2702.79,621.73,22272.03,732.7,18426.8
2024-09-03,69240.46206446078,0.0,637.98,738.32,677.68,579.36,21851.07,2702.79,621.73,22272.03,732.7,18426.8
2024-09-03,69240.46206446078,-6.924046206448111,692.4,692.4,17358.58,692.4,692.4,20772.14,692.4,12421.74,692.4,14540.5
2024-09-04,69230.05432842181,-6.924046206448111,680.93,687.72,17448.3,688.4,696.92,20695.51,680.93,12463.19,721.37,14473.71
2024-09-05,69442.11593008575,-6.924046206448111,698.85,689.99,17283.02,691.88,693.0,20719.82,687.34,12650.61,756.75,14577.79
2024-09-06,68650.29556350283,-6.924046206448111,673.31,699.83,17065.4,664.07,681.25,20745.5,659.26,12214.99,692.83,14560.78
2024-09-07,69099.0538266907,-6.924046206448111,689.07,723.32,17307.89,655.21,693.98,20893.73,682.6,12154.45,711.05,14594.69
2024-09-08,69099.0538266907,-6.924046206448111,689.07,723.32,17307.89,655.21,693.98,20893.73,682.6,12154.45,711.05,14594.69
2024-09-09,69099.0538266907,-6.924046206448111,689.07,723.32,17307.89,655.21,693.98,20893.73,682.6,12154.45,711.05,14594.69
2024-09-10,69214.69078638266,-6.924046206448111,705.37,729.71,17314.11,654.99,663.53,21080.19,693.05,12102.95,743.6,14534.13
2024-09-11,69871.77636567598,-6.924046206448111,724.89,726.85,17357.63,666.01,669.27,21038.47,749.53,12549.3,750.04,14646.71
2024-09-12,70438.88038637952,-6.924046206448111,734.64,733.34,17594.93,681.56,673.37,21038.47,763.89,12806.81,755.56,14663.23
2024-09-13,71094.00064693698,-6.924046206448111,732.63,747.24,17891.83,693.76,680.37,20957.1,763.63,13287.49,757.14,14589.72
2024-09-14,71696.23880182272,-6.924046206448111,726.35,750.17,18029.13,696.41,689.14,20853.11,748.76,13836.85,745.6,14627.66
2024-09-15,71696.23880182272,-6.924046206448111,726.35,750.17,18029.13,696.41,689.14,20853.11,748.76,13836.85,745.6,14627.66
